
Last 4 digits of your ID	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	Report	Total	Comment
287	0	4	4	0	0	0	2	0	0	4	1	15	
2202	0	0	0	0	0	0	0	0	0	0	1	1	아무것도 출력되지 않거나, 12124496이 반복적으로 계속 출력됨
2988	4	4	2	2	4	2	4	2	2	4	1	31	
5530	4	4	0	4	4	0	2	0	0	4	1	23	
1283	0	0	0	0	0	0	0	0	0	0	1	1	아무것도 출력되지 않음
4665												0	미제출
3692	4	4	0	4	4	0	2	0	0	4	1	23	
67	0	0	0	0	0	0	0	0	0	0	1	1	아무것도 출력되지 않음
1150	4	4	4	4	4	4	4	4	4	4	1	41	
779	4	4	4	4	4	4	4	4	4	4	1	41	
1013	4	4	0	4	4	0	2	0	0	4	1	23	
2683	4	4	4	4	4	4	4	4	4	4	0	40	
4658(허)	4	4	4	4	4	4	4	4	4	4	1	41	
3476	4	4	4	4	4	4	4	4	4	4	1	41	
2900	4	4	4	4	2	2	4	2	2	4	1	33	
494	4	4	4	4	4	4	4	4	4	4	1	41
